IncidentID	Date	Location	Attack type	Weapon	Total killed	Israelis killed	Palestinians killed	Others killed	Total wounded	Israelis wounded	Palestinians wounded	Others wounded	Total casualties	Claimed by	Attributed to	Description	Context	Target type
17	12/09/93	Gaza Strip	Non-suicide attack	Gun	3	3	0	0	0	0	0	0	3	Hamas + other		"""Two fundamentalist groups claimed responsibility for the ambush of the three Israeli soldiers just east of Gaza City.""

Doesn't state who the other group was."	"occured as Israel's ""leaders prepared to fly to Washington to sign their historic peace accord with the Palestine Liberation Organization."""	Military
18	12/09/93	Israel	Non-suicide attack	Knife	2	1	1	0	0	0	0	0	2	Hamas/Qassam Brigades		"""The Palestinian who stabbed the driver of a bus between the southern Israeli towns of Ashdod and Ashkelon was shot to death by an Israeli soldier on board. The attacker was carrying a Hamas leaflet, authorities said, and Palestinians from Gaza said he was a Hamas activist.""

Note: ""knife"" selected above as weapon, but this is not entirely apparent from report."	Rabin flying to Washington to sign peace accord with Arafat.	Civilian
19	10/10/93	Gaza Strip	Non-suicide attack	Bomb	0	0	0	0	1	1	0	0	1	Hamas/Qassam Brigades		"""The booby-trap bomb exploded as an army patrol drove by in a jeep in occupied Gaza City, military sources said.

One soldier was slightly injured and received first aid."""	Heavily stepped-up attacks against Hamas by IDF in week following signing of peace deal.	Military
20	24/10/93	Gaza Strip	Non-suicide attack	Other/NA	2	2	0	0	0	0	0	0	2	Hamas/Qassam Brigades	Hamas/Qassam Brigades	"""HAMAS gunmen, apparently posing as Jewish settlers, killed two reserve soldiers after picking them up near a Gush Katif settlement as they were hitchhiking home from their base in the Gaza Strip yesterday.""

Didn't categorite as ""kidnapping/hostage-taking"" bc the intent was not to kidnap and hold for ransom. The point was to kill them and take their weapons. They just took them somewhere else to do it."	Continued opposition to peace deal and to IDF attacks against Hamas, particularly in Gaza Strip.	Military
22	07/11/93	West Bank	Non-suicide attack	Gun	1	1	0	0	1	1	0	0	2	Hamas + other		"""an armed group ambushed Rabbi Druckman... and fired 20 rifle shots at his car, killing his driver [Efrayim Ayubi] immediately and severely wounding Rabbi Druckman.""

Near Beyt Kahil, south of Hebron"	"Rabbi Druckman ""calls for the annexation of the occupied territories to Israel."""	Civilian
23	01/12/93	West Bank	Non-suicide attack	Gun	2	2	0	0	2	2	0	0	4	Hamas/Qassam Brigades		"""The 24-year-old woman from Jerusalem... was on her way home from Psagot settlement near Ramallah with the three other Israelis when Palestinians riddled their car with bullets, the army said.""

One injured man dies the next day.(30)"		Civilian
24	22/12/93	West Bank	Non-suicide attack	Gun	2	2	0	0	0	0	0	0	2	Hamas/Qassam Brigades		""" 'Two members of our secret ""Zero"" unit overtook an Israeli car carrying two people ... opened fire, and killed them,' HAMAS announced.""

""Meir Mendelovich, 32... and Elyahu Levin, 25 died on the spot."""	Autonomy talks opening in Paris	Civilian
25	30/12/93	Gaza Strip	Non-suicide attack	Gun	0	0	0	0	2	2	0	0	2	Hamas/Qassam Brigades		Two IDF soldiers ambushed by Hamas gunmen. One in hospital with injuries, other hurt only mildly by broken glass.		Military
26	06/04/94	Israel	Suicide attack	Bomb	8	7	1	0	50				58	Hamas/Qassam Brigades		Car bomb detonated by suicide attacker at a bus stop in Afula, Israel. Wounded is estimate only, disaggregation not available, some surely Palestinian. Number dead includes suicide attacker, as per new standard.	Claimed as revenge for Hebron Massacre 40 days prior	Civilian
27	13/04/94	Israel	Suicide attack	Bomb	6	5	1	0	20				26	Hamas/Qassam Brigades		"""A bomb exploded in the rear of an Israeli bus as it sat in the station in Hadera. Six people were killed and about two dozen others were injured."" Second source says 5 Israelis, I believe the 6th person was the attacker himself. I've revised to reflect this. That source also indicates that it happened ""yesterday"" (would be the 12th) on ""memorial day"" (the 13th), whereas the first source does not indicate any date but suggests that it happened that day (13th). The third source indicates that Israel's Mem. Day that year fell on April 13th, so that's the date I've entered. A fourth, unmentioned source (Daily Globe and Mail (Canada)) corroborates."	Israel's memorial day and the run-up to its independence day. Continued revenge for Hebron Massacre.	Civilian
28	18/04/94	West Bank	Non-suicide attack	Other/NA	0	0	0	0	5	4	1	0	5	Hamas/Qassam Brigades		"""A member of the islamic resistance movement, hamas, attacked israeli passengers on a commuter bus today before being shot and wounded by an israeli soldier, according to police sources. two israelis were wounded by the attacker's ax blows and another two by the soldier who opened fire on the assailant.""

Assailant also carrying 2 firebombs, which apparently were not used."	Implementation of peace plan and autonomy process.	Civilian
29	17/05/94	West Bank	Non-suicide attack	Gun	2	2	0	0	1	1	0	0	3		Hamas/Qassam Brigades	Gunmen shot dead a man and a woman and critically wounded the woman's daughter.	"Retaliation for the previous Monday, during which ""jewish settlers and soldiers shot and wounded 18 palestinian stone-throwers in clashes."""	Civilian
30	14/06/94	West Bank	Non-suicide attack	Gun	0	0	0	0	1	1	0	0	1	Hamas/Qassam Brigades		Gunmen attacked two vehicles (one General Security Service, one IDF), slightly wounding one soldier.	"""To avenge the Hebron massacre and the killing of two Hamas gunmen who killed GSS agent Noam Cohen."""	Military
31	19/07/94	Gaza Strip	Non-suicide attack	Gun	1	1	0	0	0	0	0	0	1	Hamas/Qassam Brigades		Israeli officer shot dead in an ambush near Rafah in Gaza.	"""in response to the violence Sunday at the Erez checkpoint into Israel which left two Palestinians dead and 75 wounded."""	Military
32	14/08/94	Gaza Strip	Non-suicide attack	Gun	1	1	0	0	6	6	0	0	7	Hamas/Qassam Brigades		"""attacks today on two Israeli vehicles in the Gaza. One Israeli was killed and six were injured."""	Continuing peace talks between Israel and the PLO. Peace deal orevious month between Israel and Jordan.	Civilian
33	27/08/94	Israel	Non-suicide attack	Knife	2	2	0	0	0	0	0	0	2	Hamas/Qassam Brigades		"""militants stabbed to death two young Israelis at a building site near Tel Aviv"""	"""in another revenge attack for the Hebron mosque massacre""

Peace process continues."	Civilian
34	01/09/94	West Bank	Non-suicide attack	Bomb	2	0	2	0	0	0	0	0	2		Hamas/Qassam Brigades	"""Two Hamas men killed by their own car bomb""

NB: ""Attack type"" unclear. Chose ""non-suicide"" by default.

NB: Target type omitted as unknown"	Pre- Rosh-Hashana	
35	10/10/94	Israel	Non-suicide attack	Gun	4	1	3	0	13				17	Hamas/Qassam Brigades		"""Two Arabs armed with assault rifles and hand grenades opened fire on a crowded street. Two people were killed, an Israeli and a Palestinian, and 13 others were wounded before the gunmen were shot dead.""

NB: Hard to say whether this was a suicide attack or not. Thus hard to know whether to count the attackers among those killed. This has spurred me to go back and CHANGE HOW I COUNT: I now count all killed, including suicide attackers themselves, in order to rectify this discrepancy."	"""Hamas says the attack was retaliation for the death of 17 Arabs during clashes with Israeli police at the Temple Mount four years ago."""	Civilian
37	12/10/94	Other	Kidnapping/Hostage-taking	Other/NA	5	2	3	0	9	9	0	0	14	Hamas/Qassam Brigades		"Abducted Nachson Waxman, demanding release of Yassin, and ""leaders of the Muslim fundamentalist groups Hezbollah and Islamic Jihad and 190 prisoners of seven radical Islamic and Palestinian organizations.""

Note: LOCATION UNKNOWN!

Note: Casualties occurred during rescue operation (see 2nd source)."	Autonomy in Gaza, ruled by PLO (not directly claimed as a reason for anything by Hamas, just background)	Military
38	19/10/94	Israel	Suicide attack	Bomb	22				48				70	Hamas/Qassam Brigades		"""A bomb shattered a bus in the midst of the city's shopping district Wednesday in an apparent suicide attack by Islamic militants.""

NB: Not clear if # killed includes suicide bomber; not 100% clear it was suicide attack

Other numbers not disaggregated"	Apparently revenge for the 3 militants killed during the botched Waxman rescue operation.	Civilian
39	27/11/94	West Bank	Non-suicide attack	Gun	1	1	0	0	1	1	0	0	2	Hamas/Qassam Brigades		"""Rabbi Ami Ulami, aged 33, died when gunmen raked his car with bullets on a road south of the troubled town of Hebron, in the West Bank. The car overturned and its roof was crushed. A policeman in the passenger seat was wounded, but managed to return fire, and the attackers sped off."""	Continuing autonomy. I'd say Hamas is trying to radicalize Israel and provoke a crackdown to kill the peace process. At which it succeeds...	Civilian
44	25/12/94	Israel	Suicide attack	Bomb	0	0	0	0	12	12	0	0	12		Hamas/Qassam Brigades	"Carrying explosives in a handbag. PROBABLE target was a bus of soldiers. Police think the bomb went off prematurely or the attacker got nervous and detonated it early.

NB: Target type uncertain."		Military
45	22/01/95	Israel	Suicide attack	Bomb	21	19	2	0	60	60	0	0	81	Hamas/QB + PIJ		"""Dozens of Israeli soldiers were at this bus stop at about 9:30 a.m. when a suicide attacker detonated the first bomb. Then, moments later, when other soldiers grabbed a suspicious bystander, that man, too, blew himself up and killed those near him.""

Wounded was an estimate, and I'm not sure that only Israelis were among the wounded. Fatalities include the 2 suicide bombers."	Peace process with PLO	Military
46	19/03/95	West Bank	Non-suicide attack	Gun	2	2	0	0	5	5	0	0	7	Hamas/Qassam Brigades		"""machine-gun attack on a bus travelling from Jerusalem to the settlement of Kiryat Arba, which also wounded five settlers"""	Continuing peace plan implementation	Civilian
47	10/04/95	Gaza Strip	Suicide attack	Bomb	9	7	1	1	0	0	0	0	9	Hamas/QB + PIJ		"""a booby-trapped van drove into a bus outside the Kfar Darom settlement in the south of the Strip, killing six soldiers and the Palestinian driver.""

This was a PIJ attack! This linked to incident 48, in which a Hamas bomber died. Seems attacks planned together, both described by me here as claimed by both QB and PIJ.

Last two dead from 2nd source, not sure if from this attack or #48. Additional Israeli soldier and one American tourist die later from injuries."	Recent explosion in a Hamas bomb factory. Israel claims Hamas blew itself up, Hamas blames Israel and PLO.	Military
48	10/04/95	Gaza Strip	Suicide attack	Bomb	1	0	1	0	54	54	0	0	55	Hamas/QB + PIJ		"""the attack near the Netzarim settlement in the centre of the Strip in which nine Israeli border-guards and settlers were wounded. The attacker died in the blast.""

54 total wounded."	See incident 47	Mixed
49	25/06/95	Gaza Strip	Suicide attack	Bomb	1	0	1	0	3	3	0	0	4	Hamas/Qassam Brigades		"Hamas bomber blew himself up with a ""donkey cart"" of explosives. 2 parts of the same report say different things. One says NO INJURIES, the other says THREE ISRAELI SOLDIERS INJURED. Quite confusing. A second report from the same day/source says 3 injured. Leaving at that."	"""HAMAS said the operation on Sunday was designed 'to show our solidarity with Palestinian prisoners on hunger strike and to avenge Mahmud al-Khawaja,' an Islamic Jihad leader assassinated on Thursday in the Gaza Strip."""	Military
50	24/07/95	Israel	Suicide attack	Bomb	7	6	1	0	32				39	Hamas/Qassam Brigades		"""A Palestinian suicide bomber killed himself and five Israelis aboard a rush-hour bus in a Tel Aviv suburb on Monday""

""33 wounded, 3 critically""

Source 57: Deathtoll 7, 6 Israelis. I assume 1 of 3 critically injured died."	"""The timing is significant. Israeli and Palestinian negotiators are very close to a deal that would expand Palestinian self-rule in some of the occupied territories."""	Civilian
51	21/08/95	Israel	Suicide attack	Bomb	6	4	1	1	100				105	Hamas/Qassam Brigades		"""The militant group Hamas has claimed responsibility for the bombing of an Israeli bus, which was detonated at the exact time it passed another bus so that both were affected. An American tourist also died."" (Tourist was female)

# killed includes suicide bomber.

Updated #s from source 59.

Reports from time vary as to # killed, from 4 to 6, some may except bomber."	Peace talks and rising cries from Israelis to reconsider them.	Civilian
52	13/09/95	Gaza Strip	Suicide attack	Bomb	1	0	1	0	1	0	1	0	2		Hamas/Qassam Brigades	An alleged Qassam Brig. member died priming a bomb. A woman also injured. Target unknown, attack type also only an educated guess.		
53	25/02/96	Israel	Suicide attack	Bomb	24	21	1	2	85				109	Hamas/Qassam Brigades		"Linked to INCIDENT 55 (next incident).
Bomber on bus morning rush hour Jerusalem. ""At least 25 killed"" in this attack and incident 54 combined. 3 listed for next, assumed 22 for this. 2 Americans (an engaged couple) killed in this blast. Bomber killed. REST ASSUMED ISRAELI, but can't be sure. TOTAL WOUNDED REFERS TO BOTH ATTACKS TOGETHER, as this was surely the worse of the two. Total for this one probably lower than 75, for next probably more than 0 (left not filled out).
UPDATED casualties #s from source 63."	Israel's assasination of Hamas bomb maker. Murder of Hamas member by other prisoners in Israeli prison.	Civilian
55	25/02/96	Israel	Suicide attack	Bomb	3	2	1	0					3	Hamas/Qassam Brigades		"LINKED TO INCIDENT 53 (last incident).

Bomber in military uniform walked into a group of Israeli soldiers in Ashkelon. 1 soldier and 1 civilian killed (plus bomber). Judging soldiers to be main target.

WOUNDED UNKNOWN, TOTAL WAS GIVEN FOR THIS ATTACK TOGETHER W/ INCIDENT 53, SOME OF THEM PROBABLY FOR THIS."	Israel's assasination of Hamas bomb maker. Murder of Hamas member by other prisoners in Israeli prison.	Military
56	03/03/96	Israel	Suicide attack	Bomb	19	18	1		10				29	Hamas/Qassam Brigades		"""A HAMAS suicide bomber blew apart a crowded bus in the heart of Jerusalem for the second consecutive Sunday killing at least 19 people and provoking Israel to declare 'total war' on the fundamentalist group.""

Same bus line (18) as previous Sunday."	"Qassam Brigades demands to end ""'Zionist terrorism' against Hamas, [halt] all acts of aggression and violence against civilians in the occupied territories, and, [release] Hamas members detained in Israeli jails."" Gave Israeli one week to respond. This was Thursday, the Sunday after the statement this incident occured (i.e. they only gave them 3 days!). Thus unsurprising that Israel instead declared ""war"" on Hamas."	Civilian
57	04/03/96	Israel	Suicide attack	Bomb	14	13	1						14	Hamas/Qassam Brigades		Bomber in a Tel Aviv shopping mall. Wounded not listed! # includes bomber.	"By the following day, Hamas's political leadership calls for an end to attacks on civilians. See source 66.

Qassam Brigades later denies that it is halting attacks (source 67)."	Civilian
58	30/07/97	Israel	Suicide attack	Bomb	15	12	3		168				183	Hamas/Qassam Brigades		2 men disguised as business men had suitcase bombs with nails for extra lethality. 2 bombers and 1 Arab man killed, 12 others assumed Israeli. Of 168 wounded, 82 were still in the hospital that night when J-Post article went to press.	"""Hamas demanded the release of its spiritual leader, Sheikh Ahmed Yassin, Hizbullah leader Sheikh Abdul Karim Obeid, and other security prisoners and administrative detainees."""	Civilian
59	04/09/97	Israel	Suicide attack	Bomb	6	5	1		150				156	Hamas/Qassam Brigades		"""The triple suicide bombing in the heart of Jerusalem on Thursday, which left at least six people dead and 150 injured, was just the latest attack claimed by the Islamic Resistance Movement (HAMAS)."""	Peace process halted since late May election of Netanyahu	Civilian
60	29/09/98	West Bank	Suicide attack	Bomb	1	0	1	0	2	0	2	0	3		Hamas/Qassam Brigades	"3 men allegedly members of Hamas seemingly set off a car bomb by accident, killing one of them and injuring two others.

Target type unknown. Attack type assumed."		
61	19/10/98	Israel	Non-suicide attack	Other/NA	0	0	0	0	64	64	0	0	64	Hamas/Qassam Brigades		"Militant threw 2 grenades into ""a morning rush-hour crowd at the station"" (Beersheba's main bus station)."	Hamas having difficulty carrying out attacks (see source 71).	Military
62	20/10/98	Gaza Strip	Suicide attack	Bomb	2	1	1	0	7	3	4	0	9	Hamas/Qassam Brigades		"Rammed an explosive-laden car into an army jeep escorting a school bus. In addition to those killed (the attacker and one soldier), 3 Israelis and 4 Palestinians were injured.

TARGET UNCLEAR. According to initial AFP report, the attacker rammed the military Jeep. Other reports (Guardian and CBS among them, CBS cited here) say the army Jeep rammed the attacker's vehicle to prevent it from hitting the school bus. AFP report does mention the army Jeep swerving to keep the attacker away from the school children. Have removed label."	Sheikh Yassin denies prior knowledge of attack (see source 74).	
63	06/11/98	Israel	Suicide attack	Bomb	2	0	2	0	17				19	Hamas/Qassam Brigades		"""Israeli police said they received an anonymous telephone call claiming that the Islamic Resistance Movement (HAMAS) was responsible for the Jerusalem bomb attack earlier Friday.

""We received an anonymous telephone call from someone speaking Arabic who said he was a HAMAS official and claimed the attack"" which killed the two attackers and wounded 17 other people, police chief Yair Yitzhaki said.""

That's the whole report! Not much info!"	Note Yassin's admission that Hamas is having trouble carrying out attacks. (See context note incident 61; source 71).	Civilian
64	07/08/99	West Bank	Non-suicide attack	Gun	0	0	0	0	2	2	0	0	2	Hamas/Qassam Brigades		"""...gunmen opened fire on two settlers as they drove through the Israeli-controlled city centre of Hebron.""
""...injuries to the hand and shoulder."""	PA crackdown on Hamas, long time since any successful attacks	Civilian
65	30/08/99	Israel	Non-suicide attack	Knife	2	2	0	0	0	0	0	0	2	Hamas/Qassam Brigades		Two hikers stabbed to death near West Bank border (I believe they were technically in Israel proper, however). Source 79 claims authorities did not wish to give more info on attack because of Secretary Albright's visit and the ongoing peace process negotiations.		Civilian
66	05/09/99	Israel	Non-suicide attack	Bomb	3	0	3	0	4	1			7		Hamas/Qassam Brigades	"""Three Israeli Arabs who were killed... when their... bombs went off prematurely had indirect links with... Hamas, Israeli Prime Minister Ehud Barak said Thursday.""
""The two car bombs in the cities of Haifa and Tiberias left the three bombers dead, and four people injured, including an Israeli passerby...
...the bombs were intended to be carried to their destinations on foot, and exploded prematurely inside the cars transporting them.""
According to later source: bombs meant for luggage compartments of buses from 2 cities to Jerusalem."		Civilian
67	07/11/99	Israel	Non-suicide attack	Bomb	0	0	0	0	34				34		Hamas/Qassam Brigades	"PROVENANCE UNCLEAR! Hamas SUSPECTED. Yassin claimed the wings were separate and that he did not know if the attack was by Qassam Brigades. Hamas spokesman in Tehran also offered no comment. I didn't want to leave this out because it seemed quite important (see context).

Three blasts at Israeli resort Netanya north of Tel Aviv injured 34, presumably all Israelis, but I don't know."	Eve of final status negotiations between Israelis and Palestinians, which Hamas and Islamic Jihad vehemently oppose.	Civilian
68	22/11/00	Israel	Non-suicide attack	Bomb	2				29				31		Hamas/Qassam Brigades	"""At least two people were killed and another 29 injured when a powerful bomb exploded near a bus in Hadera.""
Only found that QB claimed responsibility retroactively (see 2nd source)."	Intifada II	Civilian
69	28/12/00	Israel	Non-suicide attack	Bomb	0	0	0	0	14	14	0	0	14	Hamas/Qassam Brigades		"Bomb on a bus, only partly exploded, hence no fatalities. 2nd bomb exploded after everyone had already been evacuated.

""Though Hamas activists from the Gaza Strip claimed responsibility, Sedbon said there is still no confirming evidence, and the possibility is being investigated.""

That 14 killed were Israelis is an assumption."	2nd Intifada, collapse of peace talks	Civilian
70	01/01/01	Israel	Suicide attack	Bomb	1	0	1	0	19	19	0	0	20	Hamas/Qassam Brigades		That wounded were Israelis is assumed. Suicide attacker himself died several days later in Israeli custody. Not entirely clear whether attack was meant to be suicide, though QB later called it that.	Intifada II	Civilian
71	04/03/01	Israel	Suicide attack	Bomb	4	3	1	0	20	20			24	Hamas/Qassam Brigades		"Wounded ""dozens,"" so I attached a RANDOM # to that! Total casualties may thus actually be higher.
""Alian blew himself up in the middle of rush-hour crowds in the Israeli coastal resort of Netanya."""	Intifada II, Ariel Sharon becoming prime minister	Civilian
72	18/03/01	Israel	Non-suicide attack	Mortar	0	0	0	0	1	1	0	0	1	Hamas/Qassam Brigades		"""...shelling Sunday night of the Nahal Oz settlement east of the Gaza Strip, which left one Israeli soldier slightly injured."""	"First time Hamas admits to having mortars.
""The Israeli army said that incident marked the first time shells fired from the Gaza strip had landed inside Israel."""	Mixed
73	21/03/01	Gaza Strip	Non-suicide attack	Mortar	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"""...mortar shelling of Gaza's Netzarim and Morag settlements Wednesday night."""	Intifada II	Civilian
74	28/03/01	Israel	Suicide attack	Bomb	3	2	1	0	4	4	0	0	7	Hamas/Qassam Brigades		"Killed 2 teenagers. ""...early morning attack in Neve Yamin on the border with the West Bank near the Palestinian-ruled town of Qalqiliya.""

Hamas claims ""Three Zionists were killed and four others were injured, one seriously."" Israelis report just two killed + bomber. AFP report otherwise makes no mention of injured, though you'd think there would be some... don't know what to put down. Other sources also just state 3 dead in total, don't mention wounded.

New AFP source (153) also says 4 wounded."	2nd Intifada	Civilian
75	01/04/01	Gaza Strip	Non-suicide attack	Mortar	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"""...mortars fell near houses in the Netzarim settlement...""

Says ""overnight,"" so actual date may be the 3rd."		
76	03/04/01	Gaza Strip	Non-suicide attack	Mortar	0	0	0	0	2	2	0	0	2	Hamas/Qassam Brigades		"""Mortar attack... against the Jewish settlement of Atzmona in the southern Gaza Strip seriously wounded a baby boy and injured his mother..."""	"""...triggered an Israeli air bombardment that injured 60 Palestinians, mostly civilians."""	Civilian
77	03/04/01	Gaza Strip	Non-suicide attack	Bomb	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"Not certain if date 3rd or 4th of April. ""The army also said a bomb exploded on the road between Netzarim and the Karni border crossing with Israel."""		Military
78	14/02/01	Israel	Non-suicide attack	Vehicle	9	9	0	0	19	19	0	0	28	Hamas/Qassam Brigades		"""At least nine Israelis were killed and 19 injured when the Israeli public bus ploughed into a crowd of Israeli civilians and soldiers at a bus stop near an area known as Azur junction south of Tel Aviv."""	"""The Azor junction bus attack was in retaliation for Israel's assassination Tuesday of Hizbullah agent Massoud Iyyad according to Ismail Abu Shanab a Hamas leader in Gaza."""	Military
81	16/04/01	Israel	Non-suicide attack	Mortar	0	0	0	0	0	0	0	0	0	Hamas/Qassam Brigades		"""Five mortar bombs struck the desert town of Sderot just to the east of the Gaza Strip on Monday evening, without causing any injuries or damage."""	"This ""triggered a massive Israeli assault on the Gaza Strip.""
""Israel retaliated to the Sderot attack by attacking Palestinian security targets in the Gaza Strip with helicopters, tanks and bulldozers, slicing the area in three by blocking roads and occupying an area in the north of the strip where it said the mortars were fired from."""	Civilian
